Target,Model Type,Model,DOPESCORE
T1025-D1,two_best_supervised,Mod-2best_supervised_0,-30345
T1025-D1,two_best_supervised,Mod-2best_supervised_1,-30374
T1025-D1,two_best_supervised,Mod-2best_supervised_2,-30503
T1025-D1,two_best_supervised,Mod-2best_supervised_3,-30511
T1025-D1,two_best_supervised,Mod-2best_supervised_4,-30437
T1026-D1,two_best_supervised,Mod-2best_supervised_0,-15309
T1026-D1,two_best_supervised,Mod-2best_supervised_1,-15272
T1026-D1,two_best_supervised,Mod-2best_supervised_2,-15143
T1026-D1,two_best_supervised,Mod-2best_supervised_3,-15145
T1026-D1,two_best_supervised,Mod-2best_supervised_4,-15341
T1027-D1,two_best_supervised,Mod-2best_supervised_0,-9603
T1027-D1,two_best_supervised,Mod-2best_supervised_1,-9507
T1027-D1,two_best_supervised,Mod-2best_supervised_2,-9535
T1027-D1,two_best_supervised,Mod-2best_supervised_3,-9606
T1027-D1,two_best_supervised,Mod-2best_supervised_4,-9551
T1028-D1,two_best_supervised,Mod-2best_supervised_0,-32232
T1028-D1,two_best_supervised,Mod-2best_supervised_1,-32434
T1028-D1,two_best_supervised,Mod-2best_supervised_2,-32330
T1028-D1,two_best_supervised,Mod-2best_supervised_3,-32056
T1028-D1,two_best_supervised,Mod-2best_supervised_4,-32300
T1029-D1,two_best_supervised,Mod-2best_supervised_0,-15062
T1029-D1,two_best_supervised,Mod-2best_supervised_1,-14959
T1029-D1,two_best_supervised,Mod-2best_supervised_2,-15078
T1029-D1,two_best_supervised,Mod-2best_supervised_3,-15059
T1029-D1,two_best_supervised,Mod-2best_supervised_4,-15008
T1030-D0,two_best_supervised,Mod-2best_supervised_0,-28498
T1030-D0,two_best_supervised,Mod-2best_supervised_1,-28536
T1030-D0,two_best_supervised,Mod-2best_supervised_2,-28759
T1030-D0,two_best_supervised,Mod-2best_supervised_3,-28393
T1030-D0,two_best_supervised,Mod-2best_supervised_4,-28607
T1030-D1,two_best_supervised,Mod-2best_supervised_0,-14876
T1030-D1,two_best_supervised,Mod-2best_supervised_1,-14833
T1030-D1,two_best_supervised,Mod-2best_supervised_2,-14931
T1030-D1,two_best_supervised,Mod-2best_supervised_3,-14562
T1030-D1,two_best_supervised,Mod-2best_supervised_4,-14725
T1030-D2,two_best_supervised,Mod-2best_supervised_0,-11852
T1030-D2,two_best_supervised,Mod-2best_supervised_1,-11994
T1030-D2,two_best_supervised,Mod-2best_supervised_2,-11743
T1030-D2,two_best_supervised,Mod-2best_supervised_3,-12028
T1030-D2,two_best_supervised,Mod-2best_supervised_4,-11788
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_0,-60463
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_1,-59925
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_2,-60322
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_3,-59806
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_4,-59868
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-28023
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-27952
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-27867
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-27689
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-27946
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_0,-29449
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_1,-29513
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_2,-29310
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_3,-29389
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_4,-29404
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-30573
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-30263
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-30387
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-30529
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-30387
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-15359
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-15368
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-15295
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-15340
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-15185
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-9949
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-10001
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-9906
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-9943
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-9949
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-32232
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-32434
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-32330
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-32056
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-32300
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-15062
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-14959
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-15078
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-15059
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-15008
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_0,-28811
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_1,-29171
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_2,-28462
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_3,-28299
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_4,-28494
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-14949
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-14697
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-14625
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-14786
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-14886
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_0,-11683
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_1,-11707
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_2,-11945
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_3,-11973
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_4,-11788
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-58246
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-58640
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-58805
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-58538
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-58134
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-27950
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-27817
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-27905
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-27580
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-27774
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-29162
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-29219
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-29311
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-29512
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-29162
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-30497
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-30210
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-30431
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-30348
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-30307
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-15258
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-15332
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-15160
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-15112
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-15289
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-9587
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-9550
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-9630
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-9442
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-9561
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-32028
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-32273
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-31975
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-32444
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-32504
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-14944
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-14881
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-15013
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-14989
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-14960
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-28385
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-28653
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-28264
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-28220
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-28610
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-15078
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-15027
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-15130
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-14878
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-15055
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-11945
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-11736
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-11996
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-11863
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-11956
