Target,Model Type,Model,GDT_TS
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_2,92.47
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_3,92.64
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_4,92.81
T1027-D1,AlphaFold,ranked_0,65.91
T1027-D1,AlphaFold,ranked_1,65.91
T1027-D1,AlphaFold,ranked_2,67.17
T1027-D1,AlphaFold,ranked_3,62.88
T1027-D1,AlphaFold,ranked_4,66.41
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,66.16
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,63.13
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,68.69
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,67.42
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,65.66
T1027-D1,two_best_supervised,Mod-2best_supervised_0,68.18
T1027-D1,two_best_supervised,Mod-2best_supervised_1,66.16
T1027-D1,two_best_supervised,Mod-2best_supervised_2,67.68
T1027-D1,two_best_supervised,Mod-2best_supervised_3,65.40
T1027-D1,two_best_supervised,Mod-2best_supervised_4,67.93
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_0,65.91
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_1,64.90
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_2,66.92
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_3,65.40
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_4,66.41
T1028-D1,AlphaFold,ranked_0,92.98
T1028-D1,AlphaFold,ranked_1,91.52
T1028-D1,AlphaFold,ranked_2,92.72
T1028-D1,AlphaFold,ranked_3,91.78
T1028-D1,AlphaFold,ranked_4,91.87
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,91.61
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,91.95
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,91.18
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,92.04
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,92.89
T1028-D1,two_best_supervised,Mod-2best_supervised_0,92.64
T1028-D1,two_best_supervised,Mod-2best_supervised_1,92.72
T1028-D1,two_best_supervised,Mod-2best_supervised_2,92.89
T1028-D1,two_best_supervised,Mod-2best_supervised_3,92.81
T1028-D1,two_best_supervised,Mod-2best_supervised_4,93.15
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_0,92.64
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_1,92.72
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_2,92.89
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_3,92.81
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_4,93.15
T1029-D1,AlphaFold,ranked_0,46.20
T1029-D1,AlphaFold,ranked_1,45.80
T1029-D1,AlphaFold,ranked_2,45.60
T1029-D1,AlphaFold,ranked_3,44.80
T1029-D1,AlphaFold,ranked_4,45.20
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,45.00
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,45.00
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,44.60
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,45.00
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,45.60
T1029-D1,two_best_supervised,Mod-2best_supervised_0,45.40
T1029-D1,two_best_supervised,Mod-2best_supervised_1,45.00
T1029-D1,two_best_supervised,Mod-2best_supervised_2,45.20
T1029-D1,two_best_supervised,Mod-2best_supervised_3,44.60
T1029-D1,two_best_supervised,Mod-2best_supervised_4,46.20
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_0,45.40
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_1,45.00
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_2,45.20
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_3,44.60
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_4,46.20
T1030-D0,AlphaFold,ranked_0,52.75
T1030-D0,AlphaFold,ranked_1,49.08
T1030-D0,AlphaFold,ranked_2,51.19
T1030-D0,AlphaFold,ranked_3,53.48
T1030-D0,AlphaFold,ranked_4,47.16
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,43.77
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,53.85
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,45.24
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,61.26
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,45.88
T1030-D0,two_best_supervised,Mod-2best_supervised_0,44.60
T1030-D0,two_best_supervised,Mod-2best_supervised_1,57.78
T1030-D0,two_best_supervised,Mod-2best_supervised_2,45.60
T1030-D0,two_best_supervised,Mod-2best_supervised_3,62.64
T1030-D0,two_best_supervised,Mod-2best_supervised_4,47.99
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_0,46.61
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_1,44.51
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_2,68.13
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_3,45.60
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_4,41.94
T1030-D1,AlphaFold,ranked_0,67.86
T1030-D1,AlphaFold,ranked_1,67.05
T1030-D1,AlphaFold,ranked_2,71.10
T1030-D1,AlphaFold,ranked_3,69.80
T1030-D1,AlphaFold,ranked_4,70.78
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,68.83
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,68.34
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,64.77
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,71.43
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,69.48
T1030-D1,two_best_supervised,Mod-2best_supervised_0,70.94
T1030-D1,two_best_supervised,Mod-2best_supervised_1,68.99
T1030-D1,two_best_supervised,Mod-2best_supervised_2,68.67
T1030-D1,two_best_supervised,Mod-2best_supervised_3,70.62
T1030-D1,two_best_supervised,Mod-2best_supervised_4,68.51
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_0,68.34
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_1,65.42
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_2,65.10
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_3,63.64
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_4,66.88
T1030-D2,AlphaFold,ranked_0,89.50
T1030-D2,AlphaFold,ranked_1,87.60
T1030-D2,AlphaFold,ranked_2,87.61
T1030-D2,AlphaFold,ranked_3,86.76
T1030-D2,AlphaFold,ranked_4,86.97
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,81.72
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,81.93
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,85.08
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,81.72
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,80.04
T1030-D2,two_best_supervised,Mod-2best_supervised_0,78.78
T1030-D2,two_best_supervised,Mod-2best_supervised_1,80.25
T1030-D2,two_best_supervised,Mod-2best_supervised_2,81.51
T1030-D2,two_best_supervised,Mod-2best_supervised_3,85.29
T1030-D2,two_best_supervised,Mod-2best_supervised_4,78.36
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_0,81.93
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_1,85.92
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_2,82.56
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_3,82.35
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_4,78.78
