Target,Model Type,Model,PROSA
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-5.07
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-5.16
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-5.02
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-5.14
T1024-D2,AlphaFold,ranked_0,-5.25
T1024-D2,AlphaFold,ranked_1,-5.24
T1024-D2,AlphaFold,ranked_2,-5.34
T1024-D2,AlphaFold,ranked_3,-5.32
T1024-D2,AlphaFold,ranked_4,-5.02
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.04
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.11
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.14
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.14
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.21
T1024-D2,two_best_supervised,Mod-2best_supervised_0,-5.23
T1024-D2,two_best_supervised,Mod-2best_supervised_1,-5.18
T1024-D2,two_best_supervised,Mod-2best_supervised_2,-5.15
T1024-D2,two_best_supervised,Mod-2best_supervised_3,-5.16
T1024-D2,two_best_supervised,Mod-2best_supervised_4,-5.1
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_0,-5.07
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_1,-5.07
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_2,-5.2
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_3,-5.32
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_4,-5.11
T1025-D1,AlphaFold,ranked_0,-8.8
T1025-D1,AlphaFold,ranked_1,-8.86
T1025-D1,AlphaFold,ranked_2,-8.97
T1025-D1,AlphaFold,ranked_3,-9.22
T1025-D1,AlphaFold,ranked_4,-9
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-8.75
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-9.07
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-8.64
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-8.97
T1025-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-8.97
T1025-D1,two_best_supervised,Mod-2best_supervised_0,-8.81
T1025-D1,two_best_supervised,Mod-2best_supervised_1,-8.94
T1025-D1,two_best_supervised,Mod-2best_supervised_2,-8.9
T1025-D1,two_best_supervised,Mod-2best_supervised_3,-9.02
T1025-D1,two_best_supervised,Mod-2best_supervised_4,-8.96
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-8.77
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-8.91
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-8.81
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-8.87
T1025-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-8.84
T1026-D1,AlphaFold,ranked_0,-5.74
T1026-D1,AlphaFold,ranked_1,-5.46
T1026-D1,AlphaFold,ranked_2,-5.78
T1026-D1,AlphaFold,ranked_3,-5.42
T1026-D1,AlphaFold,ranked_4,-5.72
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.5
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.63
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.73
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.75
T1026-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.61
T1026-D1,two_best_supervised,Mod-2best_supervised_0,-5.69
T1026-D1,two_best_supervised,Mod-2best_supervised_1,-5.75
T1026-D1,two_best_supervised,Mod-2best_supervised_2,-5.74
T1026-D1,two_best_supervised,Mod-2best_supervised_3,-5.8
T1026-D1,two_best_supervised,Mod-2best_supervised_4,-5.71
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-5.85
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-5.77
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-5.71
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-5.79
T1026-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-5.79
T1027-D1,AlphaFold,ranked_0,-4.92
T1027-D1,AlphaFold,ranked_1,-5.06
T1027-D1,AlphaFold,ranked_2,-4.82
T1027-D1,AlphaFold,ranked_3,-4.9
T1027-D1,AlphaFold,ranked_4,-4.82
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-4.78
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-4.61
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-4.63
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-4.89
T1027-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-4.77
T1027-D1,two_best_supervised,Mod-2best_supervised_0,-4.66
T1027-D1,two_best_supervised,Mod-2best_supervised_1,-4.78
T1027-D1,two_best_supervised,Mod-2best_supervised_2,-4.63
T1027-D1,two_best_supervised,Mod-2best_supervised_3,-4.91
T1027-D1,two_best_supervised,Mod-2best_supervised_4,-4.62
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-4.98
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-5.09
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-5.16
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-5.01
T1027-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-4.97
T1028-D1,AlphaFold,ranked_0,-5.66
T1028-D1,AlphaFold,ranked_1,-5.73
T1028-D1,AlphaFold,ranked_2,-5.48
T1028-D1,AlphaFold,ranked_3,-5.48
T1028-D1,AlphaFold,ranked_4,-5.5
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.59
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.63
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.51
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.6
T1028-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.57
T1028-D1,two_best_supervised,Mod-2best_supervised_0,-5.74
T1028-D1,two_best_supervised,Mod-2best_supervised_1,-5.37
T1028-D1,two_best_supervised,Mod-2best_supervised_2,-5.46
T1028-D1,two_best_supervised,Mod-2best_supervised_3,-5.68
T1028-D1,two_best_supervised,Mod-2best_supervised_4,-5.64
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-5.74
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-5.37
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-5.46
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-5.68
T1028-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-5.64
T1029-D1,AlphaFold,ranked_0,-5.76
T1029-D1,AlphaFold,ranked_1,-5.78
T1029-D1,AlphaFold,ranked_2,-5.67
T1029-D1,AlphaFold,ranked_3,-5.8
T1029-D1,AlphaFold,ranked_4,-5.82
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.94
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.86
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.9
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.91
T1029-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.91
T1029-D1,two_best_supervised,Mod-2best_supervised_0,-5.84
T1029-D1,two_best_supervised,Mod-2best_supervised_1,-5.89
T1029-D1,two_best_supervised,Mod-2best_supervised_2,-5.78
T1029-D1,two_best_supervised,Mod-2best_supervised_3,-5.95
T1029-D1,two_best_supervised,Mod-2best_supervised_4,-5.86
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-5.84
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-5.89
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-5.78
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-5.95
T1029-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-5.86
T1030-D0,AlphaFold,ranked_0,-7.71
T1030-D0,AlphaFold,ranked_1,-7.97
T1030-D0,AlphaFold,ranked_2,-7.89
T1030-D0,AlphaFold,ranked_3,-7.92
T1030-D0,AlphaFold,ranked_4,-6.98
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-7.7
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-7.88
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-7.54
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-7.85
T1030-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-7.86
T1030-D0,two_best_supervised,Mod-2best_supervised_0,-7.94
T1030-D0,two_best_supervised,Mod-2best_supervised_1,-7.74
T1030-D0,two_best_supervised,Mod-2best_supervised_2,-7.74
T1030-D0,two_best_supervised,Mod-2best_supervised_3,-7.66
T1030-D0,two_best_supervised,Mod-2best_supervised_4,-7.66
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_0,-7.67
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_1,-7.95
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_2,-7.82
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_3,-7.89
T1030-D0,two_best_unsupervised,Mod-2best_unsupervised_4,-7.91
T1030-D1,AlphaFold,ranked_0,-6.19
T1030-D1,AlphaFold,ranked_1,-6.18
T1030-D1,AlphaFold,ranked_2,-6.1
T1030-D1,AlphaFold,ranked_3,-6.04
T1030-D1,AlphaFold,ranked_4,-6.18
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.99
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-6.15
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-6.31
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-6.18
T1030-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.96
T1030-D1,two_best_supervised,Mod-2best_supervised_0,-6.13
T1030-D1,two_best_supervised,Mod-2best_supervised_1,-6.01
T1030-D1,two_best_supervised,Mod-2best_supervised_2,-6.01
T1030-D1,two_best_supervised,Mod-2best_supervised_3,-6.05
T1030-D1,two_best_supervised,Mod-2best_supervised_4,-6.04
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-5.8
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_1,-6.03
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_2,-6.18
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_3,-6.02
T1030-D1,two_best_unsupervised,Mod-2best_unsupervised_4,-6.06
T1030-D2,AlphaFold,ranked_0,-5.9
T1030-D2,AlphaFold,ranked_1,-5.53
T1030-D2,AlphaFold,ranked_2,-5.79
T1030-D2,AlphaFold,ranked_3,-5.97
T1030-D2,AlphaFold,ranked_4,-6.01
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.88
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.79
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.58
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.87
T1030-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.68
T1030-D2,two_best_supervised,Mod-2best_supervised_0,-5.74
T1030-D2,two_best_supervised,Mod-2best_supervised_1,-5.74
T1030-D2,two_best_supervised,Mod-2best_supervised_2,-6.24
T1030-D2,two_best_supervised,Mod-2best_supervised_3,-6.04
T1030-D2,two_best_supervised,Mod-2best_supervised_4,-5.93
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_0,-5.93
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_1,-5.87
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_2,-5.8
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_3,-5.79
T1030-D2,two_best_unsupervised,Mod-2best_unsupervised_4,-5.91
