Target, Model Type, Model, RMSD
7KU7-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,18.340
7KU7-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,3.976
7KU7-D1,ranked,ranked_1,3.641
7KU7-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,18.284
7KU7-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,3.758
7KU7-D1,ranked,ranked_2,18.389
7KU7-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,18.306
7KU7-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,4.812
7KU7-D1,ranked,ranked_3,18.331
7KU7-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,18.307
7KU7-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,4.417
7KU7-D1,ranked,ranked_4,18.557
7KU7-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,18.309
7KU7-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,5.493
7KZZ-D1,ranked,ranked_0,2.395
7KZZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,2.982
7KZZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,2.666
7KZZ-D1,ranked,ranked_1,2.405
7KZZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.997
7KZZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,3.378
7KZZ-D1,ranked,ranked_2,2.516
7KZZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.074
7KZZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.215
7KZZ-D1,ranked,ranked_3,2.569
7KZZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.961
7KZZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,2.460
7KZZ-D1,ranked,ranked_4,2.625
7KZZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,2.932
7KZZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,2.880
7L1K-D1,ranked,ranked_0,0.625
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.638
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.631
7L1K-D1,ranked,ranked_1,0.623
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.637
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.650
7L1K-D1,ranked,ranked_2,0.662
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.669
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.652
7L1K-D1,ranked,ranked_3,0.640
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.645
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.622
7L1K-D1,ranked,ranked_4,0.649
7L1K-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.665
7L1K-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.643
7L6U-D1,ranked,ranked_0,1.842
7L6U-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,2.278
7L6U-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.879
7L6U-D1,ranked,ranked_1,1.906
7L6U-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.361
7L6U-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.958
7L6U-D1,ranked,ranked_2,2.476
7L6U-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.276
7L6U-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.870
7L6U-D1,ranked,ranked_3,2.714
7L6U-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,2.260
7L6U-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.892
7L6U-D1,ranked,ranked_4,2.613
7L6U-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,2.511
7L6U-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.928
7LC6-D1,ranked,ranked_0,0.800
7LC6-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.927
7LC6-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.792
7LC6-D1,ranked,ranked_1,0.774
7LC6-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.830
7LC6-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.786
7LC6-D1,ranked,ranked_2,0.917
7LC6-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.806
7LC6-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.845
7LC6-D1,ranked,ranked_3,0.830
7LC6-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.788
7LC6-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.807
7LC6-D1,ranked,ranked_4,0.769
7LC6-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.807
7LC6-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.795
7LCI-D1,ranked,ranked_0,4.083
7LCI-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,4.676
7LCI-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,4.088
7LCI-D1,ranked,ranked_1,4.646
7LCI-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,4.501
7LCI-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,4.018
7LCI-D1,ranked,ranked_2,4.109
7LCI-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,4.730
7LCI-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,4.215
7LCI-D1,ranked,ranked_3,4.468
7LCI-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,4.561
7LCI-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,4.055
7LCI-D1,ranked,ranked_4,4.853
7LCI-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,4.460
7LCI-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,4.086
7LS5-D1,ranked,ranked_0,1.056
7LS5-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.117
7LS5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.988
7LS5-D1,ranked,ranked_1,1.112
7LS5-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.161
7LS5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.153
7LS5-D1,ranked,ranked_2,1.062
7LS5-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.160
7LS5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.092
7LS5-D1,ranked,ranked_3,1.002
7LS5-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.088
7LS5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.041
7LS5-D1,ranked,ranked_4,1.025
7LS5-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.051
7LS5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.103
7LSX-D1,ranked,ranked_0,1.467
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.429
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.445
7LSX-D1,ranked,ranked_1,1.309
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.375
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.389
7LSX-D1,ranked,ranked_2,1.263
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.354
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.422
7LSX-D1,ranked,ranked_3,1.419
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.431
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.447
7LSX-D1,ranked,ranked_4,1.359
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.379
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.397
7LV9-D1,ranked,ranked_0,3.786
7LV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,9.118
7LV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,5.753
7LV9-D1,ranked,ranked_1,5.405
7LV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,7.350
7LV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,5.506
7LV9-D1,ranked,ranked_2,8.565
7LV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,10.445
7LV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,5.260
7LV9-D1,ranked,ranked_3,19.131
7LV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,9.416
7LV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,5.562
7LV9-D1,ranked,ranked_4,15.726
7LV9-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,7.290
7LV9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,5.278
7LVR-D1,ranked,ranked_0,1.306
7LVR-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.201
7LVR-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.215
7LVR-D1,ranked,ranked_1,1.220
7LVR-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.215
7LVR-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.309
7LVR-D1,ranked,ranked_2,1.243
7LVR-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.190
7LVR-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.221
7LVR-D1,ranked,ranked_3,1.359
7LVR-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.189
7LVR-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.218
7LVR-D1,ranked,ranked_4,1.287
7LVR-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.249
7LVR-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.202
7LX5-D1,ranked,ranked_0,1.120
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.151
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.111
7LX5-D1,ranked,ranked_1,1.068
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.549
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.163
7LX5-D1,ranked,ranked_2,1.531
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.229
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.296
7LX5-D1,ranked,ranked_3,1.696
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.598
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.179
7LX5-D1,ranked,ranked_4,6.417
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.502
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.063
7M7B-D1,ranked,ranked_0,3.327
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,3.554
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,3.627
7M7B-D1,ranked,ranked_1,3.313
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.517
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,3.731
7M7B-D1,ranked,ranked_2,2.210
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.684
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.550
7M7B-D1,ranked,ranked_3,2.288
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,3.077
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,3.614
7M7B-D1,ranked,ranked_4,6.666
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,3.449
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,3.843
7M9C-D1,ranked,ranked_0,1.491
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.486
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.469
7M9C-D1,ranked,ranked_1,1.465
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.419
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.514
7M9C-D1,ranked,ranked_2,1.392
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.403
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.465
7M9C-D1,ranked,ranked_3,1.452
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.447
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.476
7M9C-D1,ranked,ranked_4,1.540
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.468
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.510
7MBY-D1,ranked,ranked_0,1.217
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.249
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.395
7MBY-D1,ranked,ranked_1,1.206
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.237
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.506
7MBY-D1,ranked,ranked_2,1.626
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.200
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.999
7MBY-D1,ranked,ranked_3,1.951
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.698
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.039
7MBY-D1,ranked,ranked_4,1.675
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.377
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.359
7ME0-D1,ranked,ranked_0,0.449
7ME0-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.790
7ME0-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.489
7ME0-D1,ranked,ranked_1,0.443
7ME0-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.903
7ME0-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.497
7ME0-D1,ranked,ranked_2,0.964
7ME0-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.880
7ME0-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.523
7ME0-D1,ranked,ranked_3,1.019
7ME0-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.866
7ME0-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.496
7ME0-D1,ranked,ranked_4,0.996
7ME0-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.797
7ME0-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.467
7MJS-D1,ranked,ranked_0,2.311
7MJS-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,2.383
7MJS-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,2.158
7MJS-D1,ranked,ranked_1,2.215
7MJS-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.288
7MJS-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.218
7MJS-D1,ranked,ranked_2,3.199
7MJS-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.083
7MJS-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.227
7MJS-D1,ranked,ranked_3,2.388
7MJS-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,2.243
7MJS-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,2.269
7MJS-D1,ranked,ranked_4,2.450
7MJS-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,2.304
7MJS-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,2.167
7MLZ-D1,ranked,ranked_0,1.719
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.730
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.722
7MLZ-D1,ranked,ranked_1,1.721
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.708
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.706
7MLZ-D1,ranked,ranked_2,1.776
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.857
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.708
7MLZ-D1,ranked,ranked_3,2.221
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.692
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.705
7MLZ-D1,ranked,ranked_4,1.984
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.701
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.723
7MSW-D1,ranked,ranked_0,15.072
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,15.619
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,16.117
7MSW-D1,ranked,ranked_1,16.231
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,15.497
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,15.898
7MSW-D1,ranked,ranked_2,15.522
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,15.941
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,16.043
7MSW-D1,ranked,ranked_3,15.236
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,14.799
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,16.005
7MSW-D1,ranked,ranked_4,20.697
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,15.406
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,15.858
7N8I-D1,ranked,ranked_0,0.425
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,0.428
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,0.450
7N8I-D1,ranked,ranked_1,0.452
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,0.452
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,0.496
7N8I-D1,ranked,ranked_2,0.437
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,0.475
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,0.437
7N8I-D1,ranked,ranked_3,0.445
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,0.448
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,0.447
7N8I-D1,ranked,ranked_4,0.436
7N8I-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,0.423
7N8I-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,0.451
7RB9-D1,ranked,ranked_0,1.631
7RB9-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.627
7RB9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.586
7RB9-D1,ranked,ranked_1,1.571
7RB9-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.622
7RB9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.553
7RB9-D1,ranked,ranked_2,1.651
7RB9-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.586
7RB9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.571
7RB9-D1,ranked,ranked_3,1.713
7RB9-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.650
7RB9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.616
7RB9-D1,ranked,ranked_4,1.600
7RB9-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.687
7RB9-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.677
